year,p0,p1,p2,p3,p4,p5,p6,p7
2009,31-8-2009,26-10-2009,21-12-2009,1-2-2010,29-3-2010,31-5-2010,28-6-2010,6-9-2010
2010,6-9-2010,1-11-2010,27-12-2010,31-1-2011,28-3-2011,30-5-2011,4-7-2011,5-9-2011
2011,5-9-2011,31-10-2011,26-12-2011,6-2-2012,2-4-2012,4-6-2012,9-7-2012,3-9-2012
2012,3-9-2012,29-10-2012,24-12-2012,4-2-2013,1-4-2013,3-6-2013,1-7-2013,2-9-2013
2013,2-9-2013,28-10-2013,23-12-2013,3-2-2014,31-3-2014,2-6-2014,30-6-2014,1-9-2014
2014,1-9-2014,27-10-2014,22-12-2014,2-2-2015,30-3-2015,1-6-2015,29-6-2015,31-8-2015
2015,31-8-2015,26-10-2015,21-12-2015,1-2-2016,28-3-2016,30-5-2016,27-6-2016,5-9-2016
2016,5-9-2016,1-11-2016,27-12-2016,7-2-2017,4-4-2017,6-6-2017,4-7-2017,4-9-2017
2017,4-9-2017,30-10-2017,27-12-2017,5-2-2018,3-4-2018,4-6-2018,30-6-2018,3-9-2018
2018,3-9-2018,29-10-2018,27-12-2018,4-2-2019,1-4-2019,3-6-2019,29-6-2019,2-9-2019
2019,2-9-2019,28-10-2019,27-12-2019,3-2-2020,30-3-2020,1-6-2020,27-6-2020,31-8-2020
2020,31-8-2020,26-10-2020,27-12-2020,1-2-2021,29-3-2021,31-5-2021,26-5-2021,6-9-2021
2021,6-9-2021,1-11-2021,27-12-2021,7-2-2022,4-4-2022,7-6-2022,2-7-2022,5-9-2022
2022,5-9-2022,31-10-2022,27-12-2022,6-2-2023,3-4-2023,5-6-2023,1-7-2023,4-9-2023
2023,4-9-2023,2-11-2023,27-12-2023,5-2-2024,1-4-2024,3-6-2024,29-6-2024,2-9-2024
2024,2-9-2024,28-10-2024,27-12-2024,3-2-2025,31-3-2025,2-6-2025,28-6-2025,1-9-2025
